crypto,day_of_week,day_name,hour,n_epochs,up_pct,edge,p_value,significant
btc,3,Thursday,0,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
btc,3,Thursday,1,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
btc,3,Thursday,2,28,0.5357142857142857,0.0357142857142857,0.8505540192127228,False
btc,3,Thursday,3,28,0.42857142857142855,0.0714285714285714,0.5715881884098053,False
btc,3,Thursday,4,28,0.5,0.0,1.0,False
btc,3,Thursday,5,28,0.5,0.0,1.0,False
btc,3,Thursday,6,28,0.35714285714285715,0.1428571428571428,0.1849333420395851,False
btc,3,Thursday,7,28,0.6428571428571429,0.1428571428571429,0.1849333420395851,False
btc,3,Thursday,8,29,0.3793103448275862,0.12068965517241381,0.26493089646101,False
btc,3,Thursday,9,32,0.625,0.125,0.21532714972272515,False
btc,3,Thursday,10,32,0.59375,0.09375,0.37708558747544885,False
btc,3,Thursday,11,32,0.53125,0.03125,0.860050065908581,False
btc,3,Thursday,12,32,0.4375,0.0625,0.5966148958541453,False
btc,3,Thursday,13,32,0.5625,0.0625,0.5966148958541453,False
btc,3,Thursday,14,32,0.59375,0.09375,0.37708558747544885,False
btc,3,Thursday,15,32,0.5625,0.0625,0.5966148958541453,False
btc,3,Thursday,16,32,0.40625,0.09375,0.37708558747544885,False
btc,3,Thursday,17,32,0.5,0.0,1.0,False
btc,3,Thursday,18,32,0.53125,0.03125,0.860050065908581,False
btc,3,Thursday,19,32,0.53125,0.03125,0.860050065908581,False
btc,3,Thursday,20,32,0.5,0.0,1.0,False
btc,3,Thursday,21,28,0.5357142857142857,0.0357142857142857,0.8505540192127228,False
btc,3,Thursday,22,28,0.5714285714285714,0.0714285714285714,0.5715881884098053,False
btc,3,Thursday,23,28,0.42857142857142855,0.0714285714285714,0.5715881884098053,False
eth,3,Thursday,0,28,0.42857142857142855,0.0714285714285714,0.5715881884098053,False
eth,3,Thursday,1,28,0.5,0.0,1.0,False
eth,3,Thursday,2,28,0.32142857142857145,0.1785714285714286,0.08715855330228806,False
eth,3,Thursday,3,28,0.5357142857142857,0.0357142857142857,0.8505540192127228,False
eth,3,Thursday,4,28,0.6428571428571429,0.1428571428571429,0.1849333420395851,False
eth,3,Thursday,5,28,0.5,0.0,1.0,False
eth,3,Thursday,6,28,0.39285714285714285,0.1071428571428572,0.34492845088243484,False
eth,3,Thursday,7,28,0.5714285714285714,0.0714285714285714,0.5715881884098053,False
eth,3,Thursday,8,29,0.4827586206896552,0.01724137931034475,1.0,False
eth,3,Thursday,9,32,0.5,0.0,1.0,False
eth,3,Thursday,10,32,0.5625,0.0625,0.5966148958541453,False
eth,3,Thursday,11,32,0.5,0.0,1.0,False
eth,3,Thursday,12,32,0.46875,0.03125,0.860050065908581,False
eth,3,Thursday,13,32,0.53125,0.03125,0.860050065908581,False
eth,3,Thursday,14,32,0.5,0.0,1.0,False
eth,3,Thursday,15,32,0.40625,0.09375,0.37708558747544885,False
eth,3,Thursday,16,32,0.53125,0.03125,0.860050065908581,False
eth,3,Thursday,17,32,0.40625,0.09375,0.37708558747544885,False
eth,3,Thursday,18,32,0.59375,0.09375,0.37708558747544885,False
eth,3,Thursday,19,32,0.5,0.0,1.0,False
eth,3,Thursday,20,32,0.65625,0.15625,0.11018416518345475,False
eth,3,Thursday,21,28,0.5357142857142857,0.0357142857142857,0.8505540192127228,False
eth,3,Thursday,22,28,0.6071428571428571,0.1071428571428571,0.34492845088243484,False
eth,3,Thursday,23,28,0.5357142857142857,0.0357142857142857,0.8505540192127228,False
sol,3,Thursday,0,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
sol,3,Thursday,1,28,0.5714285714285714,0.0714285714285714,0.5715881884098053,False
sol,3,Thursday,2,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
sol,3,Thursday,3,28,0.5714285714285714,0.0714285714285714,0.5715881884098053,False
sol,3,Thursday,4,28,0.5714285714285714,0.0714285714285714,0.5715881884098053,False
sol,3,Thursday,5,28,0.5,0.0,1.0,False
sol,3,Thursday,6,28,0.39285714285714285,0.1071428571428572,0.34492845088243484,False
sol,3,Thursday,7,28,0.6071428571428571,0.1071428571428571,0.34492845088243484,False
sol,3,Thursday,8,29,0.5172413793103449,0.017241379310344862,1.0,False
sol,3,Thursday,9,32,0.59375,0.09375,0.37708558747544885,False
sol,3,Thursday,10,32,0.59375,0.09375,0.37708558747544885,False
sol,3,Thursday,11,32,0.53125,0.03125,0.860050065908581,False
sol,3,Thursday,12,32,0.375,0.125,0.21532714972272515,False
sol,3,Thursday,13,32,0.59375,0.09375,0.37708558747544885,False
sol,3,Thursday,14,32,0.5,0.0,1.0,False
sol,3,Thursday,15,32,0.40625,0.09375,0.37708558747544885,False
sol,3,Thursday,16,32,0.40625,0.09375,0.37708558747544885,False
sol,3,Thursday,17,32,0.5,0.0,1.0,False
sol,3,Thursday,18,32,0.625,0.125,0.21532714972272515,False
sol,3,Thursday,19,32,0.53125,0.03125,0.860050065908581,False
sol,3,Thursday,20,32,0.53125,0.03125,0.860050065908581,False
sol,3,Thursday,21,28,0.5,0.0,1.0,False
sol,3,Thursday,22,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
sol,3,Thursday,23,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
xrp,3,Thursday,0,28,0.39285714285714285,0.1071428571428572,0.34492845088243484,False
xrp,3,Thursday,1,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
xrp,3,Thursday,2,28,0.35714285714285715,0.1428571428571428,0.1849333420395851,False
xrp,3,Thursday,3,28,0.42857142857142855,0.0714285714285714,0.5715881884098053,False
xrp,3,Thursday,4,28,0.5,0.0,1.0,False
xrp,3,Thursday,5,28,0.5357142857142857,0.0357142857142857,0.8505540192127228,False
xrp,3,Thursday,6,28,0.5,0.0,1.0,False
xrp,3,Thursday,7,28,0.6428571428571429,0.1428571428571429,0.1849333420395851,False
xrp,3,Thursday,8,29,0.4482758620689655,0.051724137931034475,0.711071103811264,False
xrp,3,Thursday,9,32,0.6875,0.1875,0.050102459732443094,False
xrp,3,Thursday,10,32,0.5625,0.0625,0.5966148958541453,False
xrp,3,Thursday,11,32,0.59375,0.09375,0.37708558747544885,False
xrp,3,Thursday,12,32,0.375,0.125,0.21532714972272515,False
xrp,3,Thursday,13,32,0.5625,0.0625,0.5966148958541453,False
xrp,3,Thursday,14,32,0.5,0.0,1.0,False
xrp,3,Thursday,15,32,0.40625,0.09375,0.37708558747544885,False
xrp,3,Thursday,16,32,0.46875,0.03125,0.860050065908581,False
xrp,3,Thursday,17,32,0.5,0.0,1.0,False
xrp,3,Thursday,18,32,0.5,0.0,1.0,False
xrp,3,Thursday,19,32,0.40625,0.09375,0.37708558747544885,False
xrp,3,Thursday,20,32,0.53125,0.03125,0.860050065908581,False
xrp,3,Thursday,21,28,0.5714285714285714,0.0714285714285714,0.5715881884098053,False
xrp,3,Thursday,22,28,0.6071428571428571,0.1071428571428571,0.34492845088243484,False
xrp,3,Thursday,23,28,0.4642857142857143,0.0357142857142857,0.8505540192127228,False
