crypto,epoch,order_parameter,susceptibility,susceptibility_z
btc,1970-01-01 00:00:01.767855600,-0.25,0.03189160628019323,3.388185950928533
btc,1970-01-01 00:00:01.768171500,-0.08333333333333333,0.02334943639291454,2.0712508813801764
btc,1970-01-01 00:00:01.768188600,0.3333333333333333,0.02716133252818025,2.6589258829606592
btc,1970-01-01 00:00:01.768207500,-0.25,0.039251207729468496,4.5228060034848925
eth,1970-01-01 00:00:01.768104000,0.25,0.03260869565217388,2.712724375117871
eth,1970-01-01 00:00:01.768209300,-0.25,0.0488627214170692,4.811064188466345
eth,1970-01-01 00:00:01.768283100,0.3333333333333333,0.0383328301127214,3.451690795453443
eth,1970-01-01 00:00:01.768412700,0.25,0.03189160628019314,2.620150559823078
sol,1970-01-01 00:00:01.767855600,-0.25,0.04448470209339774,2.9946524487373463
sol,1970-01-01 00:00:01.768168800,-0.08333333333333333,0.035577697262479745,2.1737521736105845
sol,1970-01-01 00:00:01.768206600,-0.25,0.04074828904991936,2.650291740103656
sol,1970-01-01 00:00:01.768263300,-0.3333333333333333,0.06691576086956509,5.061976164204844
sol,1970-01-01 00:00:01.768287600,0.25,0.043478260869565126,2.901895355502677
xrp,1970-01-01 00:00:01.768207500,-0.4166666666666667,0.0681863929146538,2.7086892449361164
xrp,1970-01-01 00:00:01.768234500,0.75,0.12800674315619964,5.777412363323327
xrp,1970-01-01 00:00:01.768257000,-0.16666666666666666,0.08543427938808365,3.5934882765468092
