crypto,streak_length,n_up_streaks,n_down_streaks,p_continue_up,p_continue_down,momentum_strength,behavior
btc,1,367,353,0.4550408719346049,0.43342776203966005,0.44423431698713245,Mean Reversion
btc,2,167,153,0.40119760479041916,0.39215686274509803,0.3966772337677586,Mean Reversion
btc,3,67,60,0.417910447761194,0.31666666666666665,0.36728855721393033,Mean Reversion
btc,4,28,19,0.39285714285714285,0.3157894736842105,0.3543233082706767,Mean Reversion
btc,5,11,6,0.36363636363636365,0.0,0.18181818181818182,Mean Reversion
eth,1,367,353,0.45776566757493187,0.43626062322946174,0.44701314540219683,Mean Reversion
eth,2,168,154,0.4523809523809524,0.42207792207792205,0.4372294372294372,Mean Reversion
eth,3,76,65,0.40789473684210525,0.4461538461538462,0.4270242914979757,Mean Reversion
eth,4,31,29,0.41935483870967744,0.3793103448275862,0.3993325917686318,Mean Reversion
eth,5,13,11,0.38461538461538464,0.2727272727272727,0.32867132867132864,Mean Reversion
sol,1,369,351,0.4905149051490515,0.46438746438746437,0.47745118476825793,Mean Reversion
sol,2,181,162,0.44751381215469616,0.4444444444444444,0.4459791282995703,Mean Reversion
sol,3,81,71,0.49382716049382713,0.38028169014084506,0.43705442531733607,Mean Reversion
sol,4,40,27,0.45,0.5185185185185185,0.4842592592592593,Mean Reversion
sol,5,18,14,0.2222222222222222,0.5714285714285714,0.3968253968253968,Mean Reversion
xrp,1,361,359,0.46814404432132967,0.46518105849582175,0.4666625514085757,Mean Reversion
xrp,2,169,166,0.44970414201183434,0.4819277108433735,0.46581592642760394,Mean Reversion
xrp,3,76,79,0.4473684210526316,0.5443037974683544,0.49583610926049304,Mean Reversion
xrp,4,34,43,0.5588235294117647,0.5813953488372093,0.570109439124487,Momentum
xrp,5,19,25,0.5789473684210527,0.6,0.5894736842105264,Momentum
