crypto,session,hours,n_epochs,up_pct,edge,p_value,significant
btc,Asian,00:00-08:00,224,0.48660714285714285,0.01339285714285715,0.7384057149811345,False
btc,European,08:00-16:00,253,0.5375494071146245,0.03754940711462451,0.25773819674144494,False
btc,US,16:00-24:00,244,0.5,0.0,1.0,False
eth,Asian,00:00-08:00,224,0.48660714285714285,0.01339285714285715,0.7384057149811345,False
eth,European,08:00-16:00,253,0.49407114624505927,0.005928853754940733,0.8999710420105747,False
eth,US,16:00-24:00,244,0.5450819672131147,0.04508196721311475,0.17870383001532597,False
sol,Asian,00:00-08:00,224,0.5178571428571429,0.017857142857142905,0.6400920474779097,False
sol,European,08:00-16:00,253,0.5138339920948617,0.013833992094861691,0.7060922404424045,False
sol,US,16:00-24:00,244,0.5040983606557377,0.004098360655737654,1.0,False
xrp,Asian,00:00-08:00,224,0.47767857142857145,0.022321428571428548,0.5477111012895328,False
xrp,European,08:00-16:00,253,0.5177865612648221,0.017786561264822143,0.6150831119049538,False
xrp,US,16:00-24:00,244,0.5040983606557377,0.004098360655737654,1.0,False
