crypto,regime,n_epochs,avg_volatility,up_pct,edge,p_value
btc,Low,332,0.03355378292075677,0.5060240963855421,0.0060240963855421326,0.8692541040003625
btc,Medium,237,0.13052510677242185,0.510548523206751,0.010548523206751037,0.7950626579516741
btc,High,152,0.347102916123598,0.5131578947368421,0.013157894736842146,0.8078463096035283
eth,Low,259,0.03591829754849477,0.5212355212355212,0.021235521235521193,0.5344378410006974
eth,Medium,263,0.13332865248217926,0.5133079847908745,0.013307984790874472,0.7114763589543267
eth,High,199,0.3954878320672481,0.48743718592964824,0.012562814070351758,0.7768377068940341
sol,Low,183,0.03710858760072046,0.5519125683060109,0.051912568306010876,0.236822713130816
sol,Medium,237,0.13226052801574129,0.48523206751054854,0.014767932489451463,0.696813996783565
sol,High,301,0.4092350909749565,0.5083056478405316,0.00830564784053156,0.8177068178930336
xrp,Low,178,0.04089285883177724,0.5168539325842697,0.016853932584269704,0.7079478517624382
xrp,Medium,243,0.12988520332826547,0.5308641975308642,0.030864197530864224,0.3691647064718891
xrp,High,300,0.43242916163669615,0.4666666666666667,0.033333333333333326,0.2726299127008169
